Name,Country,Genre,Status
Black Kirin,China,Melodic Death/Folk Metal,Active
Black Knight,Netherlands,Heavy Metal,Active
Black Knight,United States,Heavy Metal,Split-up
Black Knight,Canada,Heavy/Power Metal,Split-up
Black Knight Symfonia,Monaco,Symphonic Power/Gothic Metal,Active
Black Kreek,Canada,Thrash/Death/Groove Metal,Active
Black Kronstadt,Canada,Black Metal/Crustcore,Split-up
Black Kult,Bolivia,Black/Thrash Metal,Active
Black Label Society,United States,Southern/Groove Metal,Active
Black Ladies,Sweden,Heavy Metal,Active
Black Laguna,Brazil,Southern/Groove Metal,Active
Black Lake,China,Melodic Death Metal,Active
Black Lamia,France,Atmospheric Black Metal,Active
Black Land,Italy,Doom Metal,Active
Black Lands,United States,Black Metal/Punk,Split-up
Black Landscapes,Israel,Black Metal,Unknown
Black Laws,Germany,Thrash Metal,Split-up
The Black League,Finland,Gothic Metal/Rock,Split-up
Black Leather,Chile,Black/Thrash Metal/Punk,Active
Black Leather Monster,United States,Heavy Metal,Active
Black Leaves,Hungary,Folk/Gothic Metal,Split-up
Black Legion,Italy,Black Metal,Active
Black Letter for a Rotten Heart,Mexico,Melodic Death Metal/Metalcore,Active
Black Leviathan,Uruguay,Death/Groove Metal,Active
Black Light,Slovakia,Thrash Metal,Active
Black Light Bringer,Chile,Black Metal,Active
Black Lightning,Italy,Heavy Metal,Active
Black like Vengeance,Australia,Melodic Death/Thrash Metal,Active
Black Lily,Sweden,Heavy Metal,Active
Black List,Italy,Thrash Metal,Active
Black List,Japan,Melodic Heavy Metal,Split-up
The Black Locust Project,Norway,Progressive Metal,Split-up
Black Lodge,Norway,Doom/Death Metal,Split-up
Black Lord,Mexico,Black Metal,Active
Black Lotus,Canada,"Black/Folk Metal (early), Black Metal (later)",Split-up
Black Lung,United States,Psychedelic Doom Metal/Rock,Active
Black Lung Conspiracy,United States,Groove/Thrash Metal,Active
Black Mad Lice,Poland,Death Metal,Active
Black Magic,Norway,"Black/Thrash Metal (early), Heavy/Speed Metal (later)",Active
Black Magic Darkness,United States,Stoner/Doom Metal/Rock,Active
Black Magic Fools,Sweden,Folk Metal,Active
Black Magic Mountain Goat,Sweden,Death/Thrash/Black Metal,Active
Black Magician,United Kingdom,Doom Metal,Active
Black Magick,Canada,Doom/Stoner Metal,Split-up
Black Magick,Italy,Melodic/Epic Doom Metal,Split-up
Black Magick Dragon,United States,Death Metal,Active
Black Magik,United States,Thrash Metal,Active
Black Majesty,Australia,Power Metal,Active
Black Majesty,Norway,"Black Metal, Dark Ambient",Active
Black Majesty,United States,Power/Thrash Metal,Split-up
Black Majik Jesus,United States,Doom Metal,Changed name
Black Manta,United States,Stoner Rock/Doom Metal,Split-up
Black Mantra,Brazil,Stoner/Doom/Gothic Metal,Active
Black Maple,United States,Heavy Metal/Hard Rock,Split-up
Black March,France,Thrash/Black Metal,Active
Black Maria,Spain,Thrash Metal,Split-up
Black Maria,United States,Stoner Metal/Thrash 'n' Roll/Punk,Active
Black Market Fetus,United States,Grindcore/Crust/Thrash Metal,Split-up
Black Market Ministry,United States,Sludge Metal,Active
Black Marsh,Hungary,Black Metal,Split-up
Black Marsh Ritual,United States,Black Metal,Split-up
Black Mary,United States,Southern Metal,Active
Black Masquerade,Japan,Melodic Power Metal,Active
Black Mass,United Kingdom,Grindcore/Death Metal,Active
Black Mass,Bolivia,Thrash Metal,Active
Black Mass,United States,Black/Death Metal,Active
Black Mass,United States,Death Metal,Split-up
Black Mass,Norway,Thrash/Death Metal,Split-up
Black Mass,Brazil,Black/Thrash Metal,Split-up
Black Mass,United States,Thrash Metal,Active
Black Mass of Absu,United States,Atmospheric Black/Doom Metal,Unknown
Black Mass Perversion,Germany,Black Metal,Split-up
Black Mass Pervertor,Finland,Black Metal/Punk,Active
Black Mass Ritual,United States,Black Metal,Active
Black Massacre,United States,Symphonic Black/Death Metal,Unknown
Black Master,United States,Power Metal,Split-up
Black Math Horseman,United States,Psychedelic Post-Metal,Split-up
Black Mayday,Australia,Melodic Heavy Metal,Split-up
Black Medallion,United States,Thrash Metal,Split-up
Black Medicine,"Korea, South",Stoner Metal,Active
Black Melody,Netherlands,Doom Metal,Changed name
Black Mesa,New Zealand,Groove/Death Metal,Unknown
Black Mesa Preservation Society,Netherlands,Death/Thrash Metal,Active
Black Messiah,Germany,Symphonic Black/Folk/Viking Metal,Active
Black Metal,Netherlands,Black Metal,Split-up
Black Metal,United States,Black Metal,Unknown
Black Metal Box,United States,Groove Metal/Metalcore,Active
Black Misanthropy,Brazil,Black Metal,Active
Black Misery,Finland,Black Metal,Active
Black Mist,United States,Black Metal,Split-up
Black Monday,Russia,Experimental Heavy/Power Metal,Active
Black Monolith,United States,Post-Black Metal/Crust Punk,Active
Black Mood,Germany,Sludge/Doom/Southern Metal,Active
Black Moon,Chile,"Pagan Black Metal (early), Black Metal (later)",Active
Black Moon,United States,"Thrash Metal, Crossover",Split-up
Black Moon Rising,Germany,Black Metal,Split-up
Black Moon Rising,United States,Heavy Metal/Punk,Split-up
Black Moor,Canada,Heavy/Thrash Metal,Active
Black Moria,Germany,Melodic Death Metal,Split-up
The Black Moriah,United States,Black/Thrash Metal,Active
Black Motel Six,Italy,Groove Metal,Active
Black Moth,United Kingdom,Doom/Stoner Metal/Rock,Active
Black Mountain Thunder,United States,Doom/Stoner/Southern Metal,Active
Black Mourners Veil,United States,Black/Death Metal,Active
Black Mouth of Spite,Netherlands,Raw Black Metal/Noise,Active
Black Mouton,Chile,Thrash/Death Metal,Active
Black Murder,France,Black Metal,Split-up
Black Mutiny,United States,Black Metal,Active
Black Mystic Portal,Colombia,Black Metal,On hold
Black Natural,Indonesia,Gothic Metal,Active
Black Nazareth,Mexico,Dark/Gothic Metal,Split-up
Black Nebula,Poland,Black Metal,Split-up
Black Nergal,Colombia,Black Metal,Active
Black Night,France,Heavy Metal/Hard Rock,Split-up
Black Nocturnal Darkness,Netherlands,Black Metal,Unknown
Black Noise Cannon,United States,Atmospheric Sludge Metal/Ambient/Post-Rock,Split-up
Black Norse,United States,Doom/Stoner Metal,Active
Black Oath,Netherlands,Black Metal,Active
Black Oath,Italy,Doom Metal,Active
Black Obsession,Indonesia,Black Metal,Active
Black Obsession,Italy,Death Metal,Active
Black Obsidian,United States,Groove Metal,Active
Black October,Russia,Melodic Death Metal,Active
The Black of Second Garden,Austria,Heavy Metal,Split-up
Black Omen,United States,Heavy/Thrash/Groove Metal,Unknown
Black Omen,Turkey,Melodic Black Metal,Active
Black on High,United States,Southern Metal,Active
Black Onyx,United States,Heavy Metal,Split-up
Black Ooze,Mexico,Doom/Drone/Experimental Metal,Split-up
Black Opera,South Africa,Doom/Gothic Metal,Active
Black Orbit,Sweden,Black Metal,Split-up
Black Orchid,Spain,Thrash Metal,Changed name
Black Orchid,Australia,Gothic Metal,Active
The Black Order,Austria,Black Metal,Split-up
Black Order,United Kingdom,Melodic Death/Thrash Metal,Active
Black Out,Italy,Heavy Metal,Split-up
Black Overdrive,Mexico,Stoner Metal,Active
Black Ozone,United States,Black Metal,Changed name
Black Palace,Mexico,Black Metal,Split-up
Black Palace Symphony,Canada,Symphonic Black Metal,Split-up
Black Paladin,Canada,Black Metal,Split-up
Black Paradise,United States,Melodic Black/Gothic Metal,Active
The Black Passage,Germany,Melodic Death/Groove Metal,Active
Black Past,Austria,Black Metal,Unknown
Black Past Crew,Germany,Thrash Metal,Active
Black Path,Greece,Death Metal,Active
Black Pathology,United States,Death Metal/Goregrind,Active
Black Pearl,Japan,Death/Thrash Metal,Active
Black Pearl,Czech Republic,Power/Thrash Metal,Active
Black Pentagram,Germany,Black Metal,Active
Black Pentagram Cult,United States,Black Metal,Active
The Black Pest,Brazil,Raw Black Metal,Unknown
Black Pest,Netherlands,Black Metal,Unknown
Black Pestilence,Canada,Black Metal with Punk/Noise Influences,Active
Black Pharaoh & Providence,Czech Republic,Progressive Metal,Active
Black Pilgrims,Germany,Heavy/Speed Metal,Active
Black Plague,Portugal,Black Metal,Split-up
Black Plague,United States,Black Metal,Active
Black Pocket Lice,Poland,Death Metal,Changed name
Black Point,Croatia,Heavy Metal,Split-up
Black Polaris,United Kingdom,Melodic Death Metal/Metalcore,Active
Black Pope,Italy,Crossover/Thrash Metal,Active
Black Prevails,Germany,Gothic Metal/Rock,Split-up
Black Priest of Satan,Germany,Black Metal,Active
Black Prism,United States,Psychedelic Doom Metal,Active
Black Propaganda,Italy,Thrash Metal,Active
Black Prophecies,Italy,Black Metal,Split-up
Black Prophecy,Austria,Thrash/Death Metal,Split-up
Black Prophets,Belgium,Melodic Black Metal,Split-up
Black Protector,Indonesia,Black Metal,Active
Black Putrescence,Australia,Raw Black Metal,Active
Black Pyramid,United States,Stoner/Doom Metal,Active
Black Queen,United States,"Death Metal (early), Atmospheric Black Metal (2012-)",Active
Black Radar,Germany,Heavy Metal,Active
Black Rage,Italy,Melodic Death Metal,Active
Black Rain,France,"Speed/Power Metal, Glam Rock (later)",Active
Black Rain,Canada,Heavy/Power Metal,Active
Black Rain,Canada,Death Metal,Unknown
Black Rain,Czech Republic,Black Metal,Split-up
Black Rain,Brazil,Heavy Metal,Split-up
Black Rain Creek,Finland,Heavy/Thrash Metal,Active
Black Rainbows,Italy,Psychedelic/Stoner Metal,Active
Black Ramstein,Indonesia,Metalcore,Active
Black Randam,Italy,Black Metal,Active
Black Raven,Italy,Heavy Metal,Active
Black Raven,Russia,Dark Metal,Split-up
Black Realm,Germany,Raw Black Metal,Split-up
Black Realm,United States,Black Metal,Split-up
Black Reaper,China,Melodic Black Metal,Active
Black Redemption,Indonesia,Death/Thrash Metal,Active
The Black Regiment,United States,Groove Metal/Metalcore,Active
Black Reign,Australia,Thrash Metal,Active
Black Reign,Canada,Black/Death/Thrash Metal,Changed name
Black Reign,United States,Black Metal,Active
Black Reign,United States,Power/Speed Metal,Split-up
Black Reign,United States,Black Metal,Changed name
Black Requiem,United Kingdom,Death Metal,Split-up
Black Rheno,Australia,Stoner/Sludge Metal/Hardcore,Active
Black Ribbon Sky,United States,Heavy/Thrash Metal,Active
Black Rite,Greece,Black Metal,Active
Black Rites,Germany,Black Metal,Split-up
Black Ritual,Mexico,Black Metal,Active
Black Ritual,United States,Technical Thrash Metal,Changed name
Black Ritual,United States,Metalcore,Active
Black Ritual,Chile,Black Metal,Active
Black River,Poland,Heavy Metal/Stoner Rock,Split-up
Black River Project,United Kingdom,Death/Thrash/Groove Metal,Split-up
Black Rock,Finland,Heavy/Black/Speed Metal,Active
The Black Rook,Brazil,Heavy Metal,Active
Black Room,United States,Heavy Metal,Split-up
Black Rose,South Africa,Heavy Metal,Split-up
Black Rose,United States,Heavy Metal/Hard Rock,Split-up
Black Rose,Denmark,Heavy Metal/Hard Rock,Split-up
Black Rose,Sweden,Heavy Metal/Hard Rock,Active
Black Rose,United Kingdom,"Heavy Metal, NWOBHM",Active
Black Roses,Sweden,Heavy Metal,Split-up
Black Roses,Germany,Heavy Metal,Split-up
Black Row,Bolivia,Thrash Metal,Active
Black Royal,Finland,Heavy/Stoner/Death Metal,Active
Black Rue,United States,Metalcore,Changed name
Black Sabah,Bosnia and Herzegovina,Heavy Metal,Split-up
Black Sabbath,United Kingdom,Heavy/Doom Metal,Active
Black Sabre,United States,Heavy Metal,Active
Black Sachbak,Israel,Thrash Metal,Active
Black Salvation,United States,Black Metal,Split-up
Black Salvation,Germany,Psychedelic Rock/Doom Metal,Active
Black Sand,Italy,Thrash/Death Metal,Split-up
Black Sapphyre,Portugal,Symphonic Power Metal,Split-up
Black Satan,Indonesia,Black Metal,Split-up
Black Satanic Reich,Russia,Black Metal,Unknown
Black Scourge,United States,Black Metal,Split-up
Black Scrap Metal,United States,Death/Black Metal,Unknown
Black Seal,United States,Psychedelic Rock/Doom/Stoner Metal,Active
Black Seas of Infinity,United States,"Black Metal (early), Dark Ritual Ambient (later)",Active
Black See,Japan,Heavy Metal,Active
Black September,Netherlands,Black Metal,Active
Black September,United States,Death Metal,Active
Black Serpent,Australia,Black/Death Metal,Active
Black Serpent Sun,United Kingdom,Pagan Black/Death Metal,Active
Black Shadow,Russia,Black Metal,Active
Black Shadows,Portugal,Melodic Death Metal,Split-up
Black Shape of Nexus,Germany,Drone/Doom Metal,Split-up
Black Sheep,United States,Heavy Metal,Split-up
Black Sheep,France,Black Metal/Noise,Split-up
Black Sheep Wall,United States,"Sludge/Post-Metal, Post-Hardcore",Active
Black Shepherd,Belgium,Thrash Metal,Split-up
Black Shiner,Mexico,Death Metal,Active
Black Shining Death,Sweden,Black Metal,Active
Black Shoals,United Kingdom,Industrial/Black Metal/Noise,Active
Black Shrine,Finland,Melodic Death Metal,Changed name
Black Silence,Australia,Black Metal,Split-up
Black Silence Malignant,United States,Black Metal,Active
Black Silver,Italy,Heavy Metal,Split-up
Black Simphony,Italy,Melodic Black/Death Metal,Changed name
Black Sin,France,Black Metal,Active
Black Sister,United Kingdom,Thrash Metal,Active
Black Skies,United States,Stoner/Sludge Metal,Split-up
Black Skies Burn,United Kingdom,Death/Thrash Metal/Hardcore,Active
Black Skies Dawn,United Kingdom,Stoner/Doom Metal,Active
Black Skull,Malaysia,Thrash Metal,Split-up
Black Skull Ritual,United Kingdom,Heavy/Doom Metal/Punk,Active
Black Sky Mourning,United Kingdom,Deathcore,Split-up
Black Sleep of Kali,United States,Sludge Metal,Split-up
Black Smoke,Poland,Sludge Metal,Active
Black Smoke Dragon,Spain,Stoner Metal,Active
Black Smoke of Buddha,Portugal,Doom/Stoner Metal,Active
Black Sodomy,Brazil,Depressive Black Metal,Split-up
Black Sol,Germany,Black/Gothic Metal,Active
Black Solitude,United Kingdom,Black/Thrash Metal,Split-up
Black Soul,France,Symphonic Black/Death Metal,Split-up
Black Soul,Greece,Black Metal,Active
Black Soul Horde,Greece,Heavy/Power Metal,Active
Black Souls,Mexico,Melodic Death/Folk Metal,Active
Black Souls Death,Mexico,"Thrash/Death Metal (early), Black Metal (later)",Active
Black South,Brazil,Black Metal,Active
Black Speech,Australia,Atmospheric Doom/Black Metal,Active
Black Spiral,United States,Thrash/Death Metal,Split-up
Black Spiral,Italy,Death/Thrash Metal,Split-up
Black Spoon Brigade,United States,Sludge Metal,Unknown
Black Spot,United States,Power/Thrash/Speed Metal,Split-up
Black Spring Monolith,Germany,Industrial/Avant-garde/Dark Metal,Active
Black Sputum,Switzerland,Black/Thrash Metal,Active
Black SS Vomit,Bosnia and Herzegovina,Black Metal,Changed name
Black Standard,United States,"Melodic Groove Metal, Metalcore",Active
Black Star,United States,Heavy Metal,Split-up
Black Star,Italy,Heavy Metal,Active
Black Stars Falling,Germany,Symphonic Metal,Active
Black Steel,Australia,Heavy/Power Metal,Active
Black Stench,Finland,Black Metal,Active
Black Stone Ritual,United States,Stoner Metal,Split-up
Black Storm,France,Black Metal,Changed name
Black Storm,Italy,Symphonic Gothic Metal,Active
Black Storm Division,Canada,Black Metal,Unknown
Black Streamline,Morocco,Heavy Metal,Active
The Black Stripes,United States,Doom Metal,Active
The Black Stymphalian,United Kingdom,Progressive Thrash/Death Metal,Active
Black Succubi,Denmark,Heavy Metal/Hard Rock,Active
Black Sugar,Belarus,Progressive Metal,Split-up
Black Sun,United Kingdom,Sludge/Doom Metal/Noise/Experimental,Active
Black Sun,France,Power Metal,Split-up
Black Sun,Netherlands,Heavy Metal,Split-up
Black Sun,Greece,Melodic Heavy/Power Metal,Active
Black Sun,Mexico,Groove Metal/Metalcore,Split-up
Black Sun,Ecuador,Power Metal,Active
Black Sun Aeon,Finland,Doom/Death Metal,Split-up
Black Sun City,Germany,Gothic Metal/Rock,Active
Black Sun Rising,Canada,Black Metal,Split-up
Black Sun Ritual,Norway,Black/Doom Metal,Active
Black Sunrise,Germany,Thrash/Speed Metal,Active
Black Sunrise,Italy,Melodic Black Metal,Active
Black Surface,Italy,Sludge/Progressive Metal,Active
The Black Swamp,Australia,Southern/Groove Metal,Active
Black Swan,Finland,Melodic Black Metal,On hold
Black Swan,Italy,Power Metal,Active
Black Swan,France,Heavy/Power Metal,Split-up
Black Swan,Germany,Gothic Metal,Split-up
Black Sword Thunder Attack,Greece,Epic Heavy Metal,Active
Black Swords,Belgium,Doom Metal,On hold
Black Syfilis,Finland,Thrash Metal/Punk,Active
Black Symphony,United States,Power/Progressive Metal,Active
Black Syndrome,"Korea, South",Heavy Metal/Hard Rock,Active
Black Table,United States,Post-Black Metal,Active
Black Talon,United Kingdom,Thrash Metal,Active
Black Tamanous,United Kingdom,Groove/Sludge Metal,Changed name
Black Tar Prophet,United States,Stoner/Doom Metal,Active
Black Task,United States,Thrash/Power Metal,Split-up
Black Tear,Spain,"Black Metal, Death Metal",Split-up
Black Tear,Switzerland,Black Metal,Split-up
Black Tears,Germany,Heavy Metal,Split-up
Black Tears,Argentina,Viking Metal,Unknown
Black Tears,United States,Atmospheric/Depressive Black Metal,Changed name
Black Tears,France,Symphonic Power Metal,On hold
Black Tears,Belgium,Death/Black/Progressive Metal,Split-up
Black Tears,France,Progressive Metal,Split-up
Black Teeth,Japan,Thrash Metal,Active
Black Temple,Finland,Industrial/Gothic Metal,Active
Black Temple,Australia,Black Metal,Active
Black Temple Below,Italy,Doom/Sludge Metal,Split-up
Black Territory,Malaysia,Metalcore/Melodic Death Metal,Active
Black Terror,Peru,Black Metal,Split-up
Black Terror,Czech Republic,Black Metal,Active
Black Terror,Spain,Thrash/Death Metal,Active
Black Thai,United States,Stoner Metal,Split-up
Black the Sky,United States,Melodic Death Metal/Metalcore,Split-up
Black Therapy,Italy,Melodic Death Metal,Active
Black Thorn,Brazil,Thrash Metal,Active
Black Thorn Halo,United States,Thrash/Groove Metal,Active
Black Thorns,United States,Gothic Black Metal,Changed name
Black Thorns Lodge,Italy,Gothic Metal,Changed name
Black Thoughts Bleeding,Germany,Metalcore,Split-up
Black Thyria,Germany,Death/Doom Metal,Active
Black Tide,United States,"Heavy/Power Metal (early), Metalcore (later)",Active
Black Tiger,United Kingdom,Heavy/Speed Metal with Punk influences,Split-up
Black Titan,United States,Stoner Metal/Rock,Active
Black Tomb,United States,Doom/Stoner Metal,Active
Black Tooth,Turkey,Southern/Sludge Metal,Active
Black Tooth Grin,United States,Sludge/Southern Metal,Active
Black Tora,United States,Heavy Metal,Active
Black Torment,United States,Black Metal,On hold
Black Torment,Mexico,Black Metal,Active
Black Tormentor,Germany,Black Metal,Active
Black Torture,Singapore,Black/Death Metal,Changed name
Black Tower,Finland,Power Metal,Split-up
Black Tower,Canada,Heavy Metal/Hardcore Punk,Active
Black Track,Mexico,Heavy/Speed Metal,Active
Black Treasure,Germany,Power/Speed Metal,Split-up
Black Tree,United Kingdom,Thrash Metal,Split-up
Black Tremor,Canada,Stoner/Doom Metal,Active
Black Triad,Brazil,Heavy Metal,Active
Black Triangle,United States,Thrash Metal,Split-up
Black Tribe,Germany,"Experimental Black Metal, Industrial/Noise",Active
Black Trillium,Australia,Doom Metal,Active
Black Trinity,Greece,Black Metal,Active
Black Trinity,United States,Black Metal,Split-up
Black Trip,Mexico,Melodic Death Metal,Active
Black Trip,Sweden,Heavy Metal,Changed name
Black Trust,Switzerland,Speed/Thrash Metal,Split-up
Black Turmoil,Bosnia and Herzegovina,Raw Black Metal,Active
Black Tusk,United States,Sludge Metal,Active
Black Twilight,Australia,Black Metal,Split-up
Black Twilight,Italy,Gothic/Doom Metal,Split-up
Black Tyrant,Portugal,Black Metal,On hold
Black Tyrants,United States,Black Metal,Split-up
Black Unicorn,Germany,Black/Viking Metal,Active
Black Uniforms,Sweden,"Heavy/Thrash Metal, Hardcore Punk",Split-up
Black Urn,United States,Sludge/Doom Metal/Grindcore,Active
Black Valley Forest,Brazil,Black Metal,Split-up
Black Vein Prophecy,Canada,Death Metal,Split-up
Black Velvet,Poland,Thrash/Speed Metal,Split-up
Black Velvet,Greece,Heavy Metal,Split-up
Black Velvet Band,Poland,Folk Metal,Active
Black Vendetta,United States,Thrash/Death Metal,Active
Black Vengeance,Germany,Death Metal,Split-up
Black Verses,Brazil,Progressive Doom/Death Metal,On hold
Black Vice,United States,Black Metal,Active
Black Viper,Spain,Thrash Metal,Active
Black Viper,Norway,Speed/Heavy Metal,Active
Black Virgin,United States,Heavy Metal,Split-up
Black Vomit,Mexico,Black Metal,On hold
Black Vomit 666,Colombia,Black/Thrash Metal,Active
Black Vomit of Terror,Brazil,Death/Black Metal,Split-up
Black Vortex,Chile,Black/Death Metal,Active
Black Voyage,Greece,Heavy Metal,Split-up
Black Vul Destruktor,Argentina,Black Metal,Active
Black Vulture,Brazil,Raw Black Metal/Experimental,Active
Black Vulture,International,Death Metal,Active
Black Vulture Conspiracy,United States,Thrash/Groove Metal,Active
Black War,Brazil,Black Metal,Active
Black Warrant,Pakistan,Industrial/Thrash Metal,Active
Black Warrior,Russia,Melodic Power/Gothic Metal,Split-up
Black Warrior,Bolivia,Black Metal,Active
Black Warrior Metal,United States,Thrash/Progressive Metal,Active
Black Wasteland,Germany,Doom Metal,Active
Black Water,Switzerland,Heavy Metal,Split-up
Black Web,Sweden,Heavy Metal,Active
Black Well,Kuwait,Death Metal,Active
Black Werewolf,Germany,Black Metal,Split-up
Black West,Spain,Stoner/Sludge Metal,Active
Black Whispers,Costa Rica,Depressive Black Metal,Active
Black Whole,Germany,Death Metal,Split-up
Black Widow,Brazil,Heavy Metal,Active
Black Widow,Belgium,Heavy Metal,Active
Black Widow,Australia,Thrash Metal,Split-up
Black Widow USA,United States,Power Metal,Active
Black Widows,Portugal,Gothic Metal,Active
Black Wind,Brazil,Black Metal,Split-up
Black Wings,Mexico,Black Metal,Active
Black Wings,China,Melodic Death Metal,Split-up
Black Wings,Italy,Progressive/Power Metal/Hard Rock,Split-up
Black Winter,Spain,Melodic Death Metal,Split-up
Black Winter,Greece,Black/Death Metal,Active
Black Winter Holocaust,United States,Black Metal,Split-up
Black Winter Night,Brazil,Black Metal,Split-up
Black Winterblood,Germany,Black Metal,On hold
Black Wisdom,Brazil,Black Metal,Active
Black Witch,Brazil,Stoner/Doom Metal,Active
Black Witch Burn,United States,Psychedelic Doom Metal,Active
Black Witch Chaos,Brazil,Black Metal,Split-up
Black Witchcraft,Germany,Black Metal,Split-up
Black Witchcraft Savagery,United States,Black Metal,Unknown
Black Witchery,United States,Black/Death Metal,Active
Black with Stars,United States,Stoner/Heavy Metal/Hard Rock,Active
Black Wizard,Canada,Stoner/Doom Metal,Active
Black Wizard,Brazil,Heavy/Thrash Metal,Active
Black Wizard,France,Heavy/Black Metal,Split-up
The Black Wizards,Portugal,Stoner Metal/Rock,Active
Black Wolf,Argentina,Black/Death Metal,Active
Black Wolf Sakrifice,United States,Black/Death Metal,Unknown
Black Wood,Russia,Black Metal,Active
Black Wood,Peru,Black Metal/Ambient,Split-up
Black Woodlands,Colombia,Raw Black Metal,Active
Black Worshippers,France,Black Metal,Split-up
Black Wraith,United States,Black Metal,Active
Black Wreath,Denmark,Funeral Doom/Death Metal,Active
Black Wÿtche,United States,Thrash/Speed Metal,Split-up
Black Yet Full of Stars,Italy,Symphonic Power/Progressive Metal,Active
Black Zamut,Russia,Black Metal,On hold
Blackage,Italy,"Thrash Metal (early), Crossover (later)",Split-up
Blackage,Italy,Thrash Metal,Active
Blackalexxx,Italy,Heavy Metal/Progressive,Active
Blackarmor,Colombia,Black Metal,Active
The Blackball,Italy,Thrash/Groove Metal,Active
Blackbeltz,Spain,Melodic Power Metal,Active
Blackbird,Sweden,Heavy Metal,Active
Blackblood Division,United States,Black Metal,Active
Blackbody Locus,United States,Melodic Death Metal/Metalcore,Split-up
Blackburns,Sweden,Heavy Metal,Split-up
Blackchest,Brazil,Heavy/Power Metal,Active
Blackcircle,Chile,Experimental Progressive Metal,Active
BlackCore,Italy,Black Metal,Active
Blackcrowned,South Africa,Black Metal,Active
Blackcrowned,Russia,Black Metal/Experimental Metal,Split-up
Blackdamp,United States,Technical Groove/Thrash Metal,Active
Blackdeath,United States,Blackened Thrash Metal,Changed name
Blackdeath,Russia,Black Metal,Active
BlackDivision,Croatia,Industrial Metal/Symphonic Metalcore,Active
Blackdome,Brazil,Progressive/Heavy Metal,Active
Blackdrawn,Greece,Melodic Groove Metal,Active
Blackdrone Inc.,Italy,Avant-garde/Industrial Black Metal,Split-up
BlackDust,Germany,Heavy/Thrash Metal,Active
Blacked Out Hatred,Canada,Thrash/Groove Metal,Active
Blackedge,Finland,Heavy Metal,Active
The Blacken,Australia,Heavy Metal,Active
Blacken,Germany,Thrash/Groove Metal,Split-up
Blacken My Melody,Germany,Melodic Death Metal/Metalcore,Active
Blackend,Germany,Heavy/Thrash Metal,Split-up
Blackend,Sweden,Thrash Metal,Split-up
Blackend,Argentina,Heavy/Progressive Metal,Active
Blackend Horizon,Germany,Atmospheric Black Metal,Active
Blackend Sun,Canada,Black Metal,Unknown
Blackened,Brazil,Thrash/Heavy Metal,Active
Blackened,France,Melodic Death Metal,Active
Blackened,France,Thrash Metal/Crossover,Active
Blackened,Canada,Thrash Metal,Changed name
Blackened,Spain,Thrash/Death Metal,Active
Blackened,Norway,Power/Thrash Metal,Changed name
Blackened,Bolivia,Death/Thrash Metal,Active
Blackened,Germany,Heavy/Power Metal,Changed name
Blackened,Australia,Thrash Metal,Unknown
Blackened Angel,Australia,Thrash/Black Metal,Active
The Blackened Beneath,Australia,Thrash Metal,Active
Blackened Chapel,United States,Atmospheric Death/Black Metal,Split-up
Blackened Colours,Finland,Heavy/Thrash Metal,Split-up
Blackened Dawn,United States,Death/Thrash Metal,Active
Blackened Eyes,United Kingdom,Thrash/Groove Metal,Split-up
Blackened Gloom,Russia,Doom/Death Metal,Split-up
Blackened Haze,Colombia,Black Metal,Active
Blackened Khaos,Mexico,Black Metal,Active
Blackened Ritual,United Kingdom,Thrash Metal,Active
Blackened Sky,United States,Thrash Metal,Split-up
Blackened Sky,Germany,Melodic Death Metal/Metalcore,Active
Blackened Sky,Austria,Thrash Metal,Split-up
Blackened Snake,Czech Republic,Thrash/Heavy Metal,Active
Blackened Sorrows,France,Thrash Metal,Split-up
Blackened Soul,United Kingdom,Thrash Metal,Split-up
Blackened Symphony,Italy,Melodic Black/Death Metal,Active
Blackened Wisdom,United States,Black/Death Metal,Split-up
Blacker,Peru,Raw Black Metal,Active
Blackest,United States,Black Metal,Active
Blackest Dawn,Germany,Melodic Death Metal/Metalcore,Active
Blackest Execration,Brazil,Death Metal,Active
The Blackest Incarnation,Mexico,Black/Death Metal,Split-up
Blackest Ruin,Canada,Black Metal,Unknown
Blackest Sin,Canada,Blackened Thrash Metal,Active
Blackest Woods,Norway,Black Metal/Punk,Unknown
Blackevil,Germany,Black/Thrash Metal,Active
Blackeye,United Kingdom,Progressive Thrash/Power Metal,Active
Blackfeather,Portugal,Gothic Metal,On hold
Blackfemia,Venezuela,Melodic Death Metal,Active
Blackfield Asylum,United States,Progressive/Melodic Death Metal,Active
Blackfinger,United States,Psychedelic Heavy/Doom Metal/Rock,Active
Blackfire,Malaysia,Black Metal,Active
Blackfire,Japan,Thrash Metal,Split-up
Blackfly,United Kingdom,Heavy Metal/Hard Rock,Unknown
BlackForce,Brazil,Death/Thrash Metal,Active
Blackgate,United States,Power/Thrash Metal,Active
Blackgoat,United States,Thrash/Doom/Death Metal,Split-up
Blackgod,France,Black Metal,Unknown
Blackguard,Canada,Folk/Melodic Death Metal,Active
Blackhammer,International,Black Metal,Active
BlackHand,United States,Stoner Metal,Active
Blackheart Eulogy,United States,Thrash Metal/Metalcore,Split-up
Blackhearted Aggels,Latvia,Melodic Death Metal,On hold
Blackhell,International,Black Metal,Active
BlackHelm,United States,Heavy/Power Metal,Active
Blackhelm,Australia,Melodic Death/Black Metal,Active
Blackhole,United Kingdom,Southern/Sludge Metal,Active
