Name,Country,Genre,Status
Baalberith,France,Black Metal,Split-up
Baalberith,Norway,Black Metal,Changed name
Baalberith,Australia,Black Metal,Split-up
Baalberith,Russia,Black/Death Metal,Active
Baalberith,Russia,Ambient/Black Metal,Active
Baalberith,France,Black Metal,Split-up
Baalberith,United Kingdom,"Black/Death Metal (early), Black Metal (later)",Active
Baalberith,Brazil,Black Metal,Split-up
Baalmoral,Germany,Black/Death Metal,Split-up
Baalphegor,Spain,Brutal Death Metal,Active
Baalsebub,Estonia,Brutal Death Metal,Active
Baalshamin,Switzerland,Black Metal,Active
Baalzephon,Brazil,Black Metal,Split-up
Baatezu,Netherlands,Death/Black Metal,Split-up
BAB O.D.,Denmark,Sludge Metal,Active
Baba de Sheeva,Brazil,Crossover Thrash Metal,Active
Baba Yaga,United Kingdom,Black Metal,Unknown
Baba Yaga,United States,Doom/Death Metal,Split-up
Babajaga,Austria,Heavy Metal/Hard Rock,Changed name
Babel,Indonesia,Thrash Metal/Metalcore,Active
Babilos,United States,Thrash Metal,Split-up
Babirusa,Indonesia,Thrash Metal/Hardcore,Active
Baboon King,New Zealand,Sludge/Doom/Death Metal,Unknown
Baboon Rising,United States,Heavy Metal,Active
Baby Dollz,Mexico,Gothic Metal,Active
Baby Elephant and the Horse,Poland,Psychedelic Doom Metal,Active
Baby Frog,Indonesia,Grindcore,Active
Baby Stab Horror,United States,Black/Thrash Metal,Active
Babygrinder,Netherlands,Grindcore,Active
Babylon,United States,Thrash Metal,Split-up
Babylon,Germany,Heavy Metal,Split-up
Babylon,Japan,Heavy Metal,Split-up
Babylon,Malaysia,Heavy Metal/Hard Rock,Split-up
Babylon,United States,Heavy Metal,Unknown
Babylon,United States,Black Metal,Active
Babylon,Italy,Heavy Metal,Split-up
Babylon,Italy,Black/Death Metal,Changed name
Babylon Fading,United Kingdom,Progressive Thrash Metal,Active
Babylon Fire,United Kingdom,Heavy Metal,Active
Babylon Mystery Orchestra,United States,Symphonic Gothic/Heavy Metal,Active
Babylon Sad,Switzerland,Avant-garde Death/Doom Metal,Split-up
Babylon Whores,Finland,Heavy Metal/Deathrock,Split-up
Bacab,Guatemala,Black Metal,Active
Bacalou,United States,Thrash Metal,On hold
Bacchanalia,Greece,Death/Groove Metal,Active
Bacchia Neraida,Greece,Pagan Black Metal,Split-up
Bacchus,France,Heavy Metal,Split-up
Bacchus,France,Black Metal,Split-up
Bacchus,Belgium,Heavy Metal,Split-up
Bacchus,United States,Thrash Metal,Split-up
Bacchus Priest,Greece,Psychedelic Doom/Stoner Metal/Rock,Active
Bachus,Belarus,Black Metal,Unknown
Back Door to Asylum,Russia,Technical Brutal Death Metal,Active
Back from Ashes,United States,Progressive Metal,Active
Back from Death,United States,Death Metal,Active
Back in Black,China,Black Metal,Changed name
Back Out,Netherlands,Heavy Metal,Active
Back Pain,Slovakia,Progressive Metal,Split-up
Back to Death,United States,Melodic Death Metal/Metalcore,Split-up
Back to R'Lyeh,Spain,Avant-garde Metal,Active
Backbitten from Alive,Indonesia,Thrash/Death Metal,On hold
Backbone,Spain,Sludge/Stoner Metal/Rock,Active
Backbone,Poland,Doom/Post-Metal,Active
Backbone,Germany,Thrash Metal/Hardcore,Split-up
Backbone,Belgium,Melodic Death Metal,Split-up
Backdawn,France,Thrash/Death/Groove Metal,Active
Backfire,Italy,Heavy Metal,Split-up
Backfired.Hate,Germany,Death/Thrash/Groove Metal,Active
Backhander,Sweden,Heavy Metal/Hard Rock,Active
Backhill,Finland,Heavy Metal,Active
Backhoe Butchery,United States,Thrash Metal,Active
Backlash,Malaysia,Crossover/Thrash Metal,Changed name
Backlash,Romania,Thrash/Groove Metal,Active
Backlash,Italy,Thrash Metal,Split-up
Backlash,United States,Heavy/Thrash Metal,Unknown
Backlash,United States,Heavy Metal,Split-up
Backlash,France,Thrash/Heavy Metal,Unknown
Backlash,Netherlands,Death Metal,Active
Backmask,United States,Progressive Death Metal,Active
Backslash,Germany,Heavy/Power Metal,Active
BackSlide,Ukraine,Death Metal/Deathcore,Active
Backslider,Belgium,Heavy Metal,Split-up
Backstabber,Canada,Death/Thrash Metal,Active
Backstabbing Bastard,Finland,Melodic Death/Thrash Metal,Active
Backstage,France,Thrash Metal,Split-up
Backstroke,Brazil,Thrash Metal,Active
Backtimes,Brazil,Heavy Metal,Unknown
Backup,Germany,Thrash Metal,Active
Backup,Canada,Thrash Metal/Hardcore,Unknown
BackWardness,Sweden,Heavy Metal,Split-up
Backwater,Germany,Heavy/Speed Metal,Active
Backwoods,United States,Drone/Doom Metal,Unknown
Backwoods Payback,United States,Stoner/Doom Metal,Active
Backyard Burial,New Zealand,Death Metal/Grindcore,Split-up
Backyard Mortuary,Australia,Death Metal,Split-up
Backyotomy,United States,Brutal Death Metal,Active
Baco,Chile,Thrash/Heavy Metal,Active
Bacon Warriors,Sweden,Death Metal/Grindcore,Changed name
Bacrus,Colombia,Death Metal,Unknown
Bacteremia,Colombia,Brutal Death Metal,Active
Bacteria,Uruguay,Groove Metal,Split-up
Bacteria,Colombia,Black Metal,Split-up
Bacteria,Malaysia,Symphonic Thrash/Death Metal,Active
Bacteria,Argentina,Heavy/Thrash Metal,Active
